lr,epoch,precision
0.76,25,0.420863309
0.29,105,0.417266187
0.53,45,0.417266187
0.76,45,0.413669065
0.29,85,0.402877698
0.29,145,0.402877698
0.53,65,0.402877698
0.76,65,0.402877698
1,45,0.402877698
0.53,85,0.399280576
0.76,85,0.399280576
0.76,105,0.399280576
1,25,0.399280576
0.29,125,0.395683453
0.76,145,0.395683453
1,105,0.395683453
0.53,105,0.392086331
1,85,0.392086331
0.29,65,0.388489209
0.76,125,0.388489209
0.53,145,0.384892086
0.53,125,0.381294964
1,65,0.381294964
1,145,0.381294964
1,125,0.374100719
0.53,25,0.363309353
0.29,45,0.356115108
0.05,145,0.287769784
0.29,25,0.287769784
0.05,125,0.28057554
0.05,5,0.251798561
0.05,25,0.183453237
0.05,45,0.183453237
0.05,65,0.183453237
0.05,85,0.183453237
0.05,105,0.183453237
0.29,5,0.183453237
0.53,5,0.183453237
0.76,5,0.183453237
1,5,0.183453237
